tag_id	timestamp	anchor_id	tof_ns	distance_m	pos_x	pos_y	pos_confidence_pct	status
TAG_008	2025-01-01T08:00:08Z	A08	56.23918371	16.82139472	20.773	11.302	71.50	parado
TAG_009	2025-01-01T08:00:09Z	A01	79.23184715	23.76324918	30.208	11.302	64.27	parado
TAG_009	2025-01-01T08:00:09Z	A02	116.2894718	34.79418291	30.208	11.302	64.27	parado
TAG_009	2025-01-01T08:00:09Z	A03	39.28371934	11.74039182	30.208	11.302	64.27	parado
TAG_009	2025-01-01T08:00:09Z	A04	121.9324817	36.50013824	30.208	11.302	64.27	parado
TAG_009	2025-01-01T08:00:09Z	A05	22.19384719	6.64729341	30.208	11.302	64.27	parado
TAG_009	2025-01-01T08:00:09Z	A06	113.7284918	34.24391827	30.208	11.302	64.27	parado
TAG_009	2025-01-01T08:00:09Z	A07	71.93284713	21.54529173	30.208	11.302	64.27	parado
TAG_009	2025-01-01T08:00:09Z	A08	59.48371928	17.80639123	30.208	11.302	64.27	parado
TAG_010	2025-01-01T08:00:10Z	A01	84.10283714	25.21849371	1.912	21.012	81.34	parado
TAG_010	2025-01-01T08:00:10Z	A02	118.2391827	35.45283912	1.912	21.012	81.34	parado
TAG_010	2025-01-01T08:00:10Z	A03	42.39128491	12.66294812	1.912	21.012	81.34	parado
TAG_010	2025-01-01T08:00:10Z	A04	124.8329481	37.38192847	1.912	21.012	81.34	parado
TAG_010	2025-01-01T08:00:10Z	A05	20.18419283	6.02193847	1.912	21.012	81.34	parado
TAG_010	2025-01-01T08:00:10Z	A06	115.2394827	34.58391827	1.912	21.012	81.34	parado
TAG_010	2025-01-01T08:00:10Z	A07	68.23918274	20.46483918	1.912	21.012	81.34	parado
TAG_010	2025-01-01T08:00:10Z	A08	55.18372841	16.55619384	1.912	21.012	81.34	parado
TAG_011	2025-01-01T08:00:11Z	A01	92.38472814	27.68128391	17.281	2.291	98.31	parado
TAG_011	2025-01-01T08:00:11Z	A02	120.7392814	36.13283912	17.281	2.291	98.31	parado
TAG_011	2025-01-01T08:00:11Z	A03	48.18371924	14.39283912	17.281	2.291	98.31	parado
TAG_011	2025-01-01T08:00:11Z	A04	127.1837182	38.10928391	17.281	2.291	98.31	parado
TAG_011	2025-01-01T08:00:11Z	A05	25.18293841	7.54382914	17.281	2.291	98.31	parado
TAG_011	2025-01-01T08:00:11Z	A06	117.2837192	35.15382912	17.281	2.291	98.31	parado
TAG_011	2025-01-01T08:00:11Z	A07	72.18372841	21.65018293	17.281	2.291	98.31	parado
TAG_011	2025-01-01T08:00:11Z	A08	61.18293741	18.36192837	17.281	2.291	98.31	parado
TAG_012	2025-01-01T08:00:12Z	A01	99.18293741	29.69128374	30.042	5.428	78.90	parado
TAG_012	2025-01-01T08:00:12Z	A02	123.1828391	36.98293841	30.042	5.428	78.90	parado
TAG_012	2025-01-01T08:00:12Z	A03	53.18293741	16.09293847	30.042	5.428	78.90	parado
TAG_012	2025-01-01T08:00:12Z	A04	129.1829384	38.81293841	30.042	5.428	78.90	parado
TAG_012	2025-01-01T08:00:12Z	A05	26.18293847	7.90293847	30.042	5.428	78.90	parado
TAG_012	2025-01-01T08:00:12Z	A06	118.1829384	35.49293847	30.042	5.428	78.90	parado
TAG_012	2025-01-01T08:00:12Z	A07	74.18293841	22.19293847	30.042	5.428	78.90	parado
TAG_012	2025-01-01T08:00:12Z	A08	63.18293841	18.89293847	30.042	5.428	78.90	parado
